0,0,1,0,1,D
1,5,0,1,1,D
2,2,1,0,1,D
3,3,0,1,0,D
4,4,0,1,0,V
5,0,0,,1,V
6,4,0,0,1,D
7,2,0,0,1,V
8,3,0,1,0,D
9,4,0,1,0,D
10,5,0,1,0,D
11,0,0,1,1,V
12,1,0,0,1,G
13,2,0,1,1,D
14,3,0,0,1,V
15,4,0,1,1,D
16,5,1,1,1,V
17,5,1,1,1,D
18,2,0,1,1,D
19,3,0,1,1,D
20,4,0,1,1,D
21,4,0,1,0,D
22,3,0,0,1,V
23,4,1,1,1,D
24,4,1,0,1,D
25,4,0,0,0,D
26,3,0,0,1,D
27,4,0,1,1,D
28,5,1,1,1,G
29,4,1,0,1,D
30,4,1,0,1,D
31,3,0,1,1,D
32,2,1,0,1,D
33,2,1,1,1,G
34,1,1,0,1,D
35,3,1,1,0,V
36,5,1,1,1,V
37,4,0,0,0,D
38,4,1,1,1,D
39,5,0,0,1,D
40,2,1,1,1,D
41,5,0,0,1,D
42,1,1,1,1,V
43,5,1,0,1,D
44,3,1,0,1,D
45,5,0,1,0,D
46,3,1,0,1,D
47,2,0,1,1,V
48,1,0,1,0,D
49,5,0,0,1,D
